coral_id,season,pumpkin_patch_nearby,growth_rate,photosynthesis
A01,Spring,Yes,0.95,1.2
A02,Spring,Yes,0.99,1
A03,Spring,Yes,1.01,1.3
A04,Spring,No,0.81,1.1
A05,Spring,No,0.77,1.7
A06,Spring,No,0.85,1.8
A07,Summer,Yes,1.1,2
A08,Summer,Yes,1.13,2.7
A09,Summer,Yes,1.15,2.2
A10,Summer,No,0.98,2.1
A11,Summer,No,0.95,3.1
A12,Summer,No,0.93,3.4
A13,Fall,Yes,0.93,2.5
A14,Fall,Yes,1.02,2.4
A15,Fall,Yes,0.99,3.7
A16,Fall,No,0.85,2.9
A17,Fall,No,0.82,3.4
A18,Fall,No,0.87,3.1
A19,Winter,Yes,0.88,2.3
A20,Winter,Yes,0.86,2.1
A21,Winter,Yes,0.91,2.7
A22,Winter,No,0.77,3.7
A23,Winter,No,0.79,3.1
A24,Winter,No,0.81,4.2
